Learner ID,Weighted Total,Total pts,C200P1 CTGL 1,C200P2 CTGL 2,C200A1 Test 2 Essay,C200B1 Test 1 US Students,C200B1 Test 1 IMS Students,student key
07B,85.5559,350.63095,94.892,92.9925,82.74645,80.0,,299
07A,95.07262,376.64117,98.0,92.99417,97.647,88.0,,300
20A,94.97494,386.57938,98.195,96.99,91.39438,,100.0,301
07A,96.16108,382.28325,93.09392,95.99333,97.196,96.0,,302
07A,95.86989,386.13046,96.99,94.99667,94.14379,100.0,,303
07D,91.45075,375.08638,98.598,97.09467,87.39371,92.0,,304
07D,93.78673,376.79067,90.399,94.197,92.19467,100.0,,305
07A,89.27019,351.93258,92.9925,92.99633,93.94375,72.0,,306
07C,93.60685,377.38845,96.4,92.9925,91.99595,96.0,,307
07D,95.19669,379.63358,96.29233,95.19367,96.14758,92.0,,308
07C,89.08746,354.04125,94.0,92.09475,91.9465,76.0,,309
07A,96.824,383.54567,94.0,94.99667,98.549,96.0,,310
07C,83.27889,321.09266,88.99333,87.19933,92.9,52.0,,311
07A,98.6485,390.99,96.99,94.0,100.0,100.0,,312
07B,90.56986,367.22957,93.993,92.9925,88.24407,92.0,,313
07C,91.25796,363.09417,96.4,92.9975,93.69667,80.0,,314
07A,86.17118,343.33887,91.995,94.0,89.34387,,68.0,315
07D,96.99372,381.2915,90.6955,94.596,100.0,96.0,,316
07B,98.38258,393.19167,96.995,97.9,98.29667,100.0,,317
07C,90.95379,360.59637,94.0,92.69825,93.89812,80.0,,318
07D,97.23578,389.28083,96.29233,96.29233,96.69617,100.0,,319
07D,93.30957,366.18209,90.49417,90.59575,97.09217,88.0,,320
07D,95.89681,379.53733,91.0945,91.3965,97.04633,100.0,,321
07C,96.0539,384.19617,94.0,94.69767,95.4985,100.0,,322
07C,95.02832,375.94542,94.0,92.69825,97.24717,92.0,,323
07B,88.06896,354.72567,96.99,92.9925,88.74317,76.0,,324
07D,92.07487,374.83064,92.1945,94.4925,88.14364,100.0,,325
07B,96.54723,389.93886,97.592,97.9,94.44686,100.0,,326
07B,93.80715,384.038,96.993,97.898,89.147,100.0,,327
07C,92.65333,372.59503,94.0,94.69767,91.89736,92.0,,328
07A,91.89633,365.19034,99.0,94.99667,95.19367,76.0,,329
07D,90.91997,358.58714,90.399,90.097,94.09114,,84.0,330
07B,91.96803,372.12381,96.99,92.9925,90.14131,92.0,,331
07B,92.90465,379.77618,96.99,94.39125,88.39493,100.0,,332
07B,89.20591,360.33167,94.893,92.9925,88.44617,84.0,,333
07C,92.30407,370.49692,94.0,92.69825,91.79867,92.0,,334
07B,93.42525,380.3835,96.692,97.498,90.1935,96.0,,335
07A,96.84833,385.392,99.0,95.99333,98.39867,92.0,,336
07A,91.47003,367.73074,95.99333,95.99333,91.74408,84.0,,337
07D,94.2768,374.388,91.197,91.995,95.196,96.0,,338
07A,94.47458,376.57891,93.192,95.99333,95.39358,92.0,,339
07D,92.70649,370.03442,92.1945,92.69325,93.14667,,92.0,340
07D,91.22566,371.03485,92.1945,91.49625,87.3441,100.0,,341
07B,92.18905,375.479,94.893,92.394,88.192,100.0,,342
07B,97.00144,385.43133,96.99,94.1935,98.24783,96.0,,343
07C,91.5291,361.74698,94.0,92.69825,95.04873,,80.0,344
07C,90.80407,367.49692,94.0,92.69825,88.79867,92.0,,345
07C,92.50367,374.69572,94.0,94.69767,89.99805,96.0,,346
07B,94.9955,380.57875,96.99,92.9925,94.59625,96.0,,347
07C,94.20365,375.69567,94.0,94.69767,94.998,92.0,,348
07C,92.19791,372.89408,94.0,92.9975,89.89658,96.0,,349
07D,98.67383,394.89534,100.0,96.49667,98.39867,100.0,,350
07C,96.55443,384.14887,94.0,93.2,96.94887,,100.0,351
07D,95.39761,383.14085,100.0,92.49375,94.6471,96.0,,352
07A,94.0465,372.186,96.99,94.0,97.196,84.0,,353
07A,92.22069,375.33555,94.99667,91.995,88.34388,,100.0,354
08A,82.49762,326.59525,88.0,88.0,86.59525,64.0,,355
08A,97.0,385.0,97.0,97.0,99,92.0,,356
08B,94.87187,382.09375,97.0,95.5,93.59375,96.0,,357
08B,94.42154,375.75508,95.0,93.16,95.59508,92.0,,358
08C,95.96249,381.5395,94.299,94.29317,96.94733,96.0,,359
08D,82.66962,326.33575,90.9975,90.9975,88.34075,56.0,,360
08C,91.41506,367.08273,95.29567,92.49375,91.29331,88.0,,361
08A,92.5,361.0,88.0,88.0,97,88.0,,362
08D,87.32044,340.43738,90.9975,90.9975,94.44238,64.0,,363
08D,94.572,376.044,97.0,98.0,97.044,84.0,,364
08C,90.80646,365.08733,88.196,88.196,88.69533,,100.0,365
08D,95.31962,381.53342,91.995,94.99667,94.54175,100.0,,366
08D,90.11981,358.73438,91.995,90.9975,91.74188,84.0,,367
08B,96.29666,385.99333,97.0,97.0,95.99333,96.0,,368
08A,95.5,377.0,90.0,90.0,97,100.0,,369
08B,96.42271,388.29542,97.0,96.5,94.79542,100.0,,370
08D,91.41925,361.73325,92.9925,94.0,94.74075,80.0,,371
08A,92.07108,364.94217,88.0,88.0,92.94217,,96.0,372
08C,88.29019,354.33012,94.19433,94.591,89.54479,76.0,,373
08B,96.14587,389.25375,98.0,97.66,93.59375,100.0,,374
08A,96.7,385.0,94.0,94.0,97,100.0,,375
08B,98.04721,395.85642,100.0,99.66,96.19642,100.0,,376
08C,95.73166,382.6875,94.19367,96.698,95.79583,96.0,,377
08D,93.8195,381.332,94.99667,95.99333,90.342,100.0,,378
08B,95.92141,384.35483,98.0,98.16,96.19483,92.0,,379
08C,91.23115,368.03671,90.0,89.392,88.64471,100.0,,380
08C,95.72721,383.18608,92.49375,95.69433,94.998,100.0,,381
08A,94.0,375.4,91.0,91.0,93.4,100.0,,382
08C,93.89721,372.58859,95.495,96.49667,96.59692,84.0,,383
08D,93.4195,376.7855,95.495,97.0,92.2905,92.0,,384
08C,98.25365,392.441,96.691,97.5,98.25,100.0,,385
08D,90.29687,365.292,94.0,90.9975,88.2945,92.0,,386
08D,90.37029,366.43533,91.995,90.9975,87.44283,,96.0,387
08A,90.84751,360.09502,88.0,88.0,92.09502,,92.0,388
08B,87.67108,353.05417,95.0,97.16,88.89417,,72.0,389
08B,93.27204,375.74408,95.0,93.0,91.74408,,96.0,390
08A,95.94633,381.09267,94.0,94.0,97.09267,96.0,,391
08B,92.675,372.5,95.0,93.5,92,92.0,,392
08C,92.12531,371.88082,93.99,95.196,90.69482,92.0,,393
08D,89.92087,360.7365,91.995,90.9975,89.744,88.0,,394
08B,97.37312,389.37725,97.0,95.33,97.04725,100.0,,395
08A,94.59666,375.99333,94.0,94.0,95.99333,92.0,,396
08C,90.63293,365.93625,94.294,94.09225,89.55,,88.0,397
08D,94.54591,380.38483,95.99333,94.99667,93.39483,96.0,,398
08B,92.99646,377.57392,98.0,96.83,90.74392,92.0,,399
08A,94.225,374.45,90.0,90.0,94.45,100.0,,400
08B,90.34674,362.69348,95.0,93.0,90.69348,84.0,,401
08C,93.20369,365.79442,94.0,93.69575,98.09867,80.0,,402
08B,91.94586,370.15373,95.0,95.66,91.49373,88.0,,403
08D,93.8215,381.336,95.99333,94.99667,90.346,100.0,,404
08A,86.99843,357.59686,90.0,90.0,81.59686,96.0,,405
08A,52.0,52.0,,,Needs Evaluation,52.0,,406
08D,94.44862,375.9955,94.0,90.9975,94.998,96.0,,407
08C,90.32631,361.43517,95.29567,94.39367,91.74583,80.0,,408
08B,90.79638,367.67377,97.0,96.83,89.84377,84.0,,409
08C,83.08671,334.98887,92.5935,80.0,82.39537,80.0,,410
08A,94.3,373.0,94.0,94.0,97,88.0,,411
08C,85.99168,331.38801,88.29567,87.99667,95.09567,60.0,,412
21A,92.39733,368.79467,92.0,92.0,92.79467,92.0,,413
09C,91.4748,359.58167,93.1945,93.99417,96.393,76.0,,414
09D,95.29168,378.88941,90.796,92.49833,95.59508,100.0,,415
09A,85.71093,350.58733,87.99352,89.1,81.49381,,92.0,416
