SG,Wt_total,Total_pts,CTGL_1,CTGL_2,Essay,BB_exam_us,BB_exam_ims,student_key,Combined_Scores
04D,95.63187,383.89375,96.5,96.4,94.99375,96.0,,170,96.0
04C,95.39646,382.08592,94.99667,95.99333,95.09592,96.0,,171,96.0
04D,80.21592,335.438,94.5945,93.7,75.1435,72.0,,172,72.0
04B,87.30227,360.1865,96.096,93.5925,82.498,,88.0,173,88.0
04C,95.6176,381.691,95.495,94.299,95.897,96.0,,174,96.0
04D,91.51565,367.98519,94.99125,93.8,91.19394,88.0,,175,88.0
04D,95.46187,379.8385,92.9925,94.6,96.246,96.0,,176,96.0
04C,94.54725,381.04334,94.49833,94.0,92.54501,100.0,,177,100.0
05D,95.6657,378.683,94.79383,93.99417,97.895,92.0,,178,92.0
05B,80.94704,335.59408,91.0,92.0,76.59408,,76.0,179,76.0
05B,97.9235,389.547,94.0,97.0,98.547,100.0,,180,100.0
05A,94.92413,386.34827,98.0,97.0,91.34827,100.0,,181,100.0
05A,86.47309,351.14619,93.0,93.0,85.14619,80.0,,182,80.0
05C,88.45,353.5,85.0,85.0,87.5,96.0,,183,96.0
05B,93.54637,373.49275,93.0,91.0,93.49275,96.0,,184,96.0
05C,93.5,379.0,97.0,95.0,91.0,96.0,,185,96.0
05D,90.66582,355.28384,92.79467,93.99417,96.495,72.0,,186,72.0
05D,93.76029,282.84017,99.0,97.49667,93.3435,92.0,,187,92.0
05A,90.62295,362.1459,94.0,89.0,91.1459,88.0,,188,88.0
05C,89.75,367.5,100.0,100.0,87.5,80.0,,189,80.0
05C,98.75,397.5,100.0,100.0,97.5,100.0,,190,100.0
05B,90.27275,352.9455,96.0,92.0,96.9455,68.0,,191,68.0
05C,87.9,348.0,87.0,87.0,90.0,84.0,,192,84.0
20A,93.07202,370.44404,91.0,90.0,93.44404,96.0,,193,96.0
05A,88.57237,352.24474,92.0,93.0,91.24474,76.0,,194,76.0
05D,96.54107,381.43433,94.79383,91.995,98.6455,96.0,,195,96.0
05B,92.57241,370.54483,92.0,94.0,92.54483,92.0,,196,92.0
05B,91.2231,358.14621,92.0,87.0,95.14621,84.0,,197,84.0
05A,87.65,358.0,96.0,93.0,85.0,84.0,,198,84.0
05C,94.4,384.0,100.0,100.0,92.0,92.0,,199,92.0
05B,94.19785,372.69571,92.0,89.0,95.69571,96.0,,200,96.0
05A,94.04825,381.0965,96.0,94.0,91.0965,100.0,,201,100.0
05C,89.0,371.0,95.0,95.0,81.0,100.0,,202,100.0
05A,87.925,357.5,95.5,92.0,86.0,84.0,,203,84.0
05C,83.4,355.0,95.0,95.0,73.0,92.0,,204,92.0
05B,95.44706,382.19412,95.0,96.0,95.19412,96.0,,205,96.0
05C,91.55,370.5,95.0,87.0,88.5,,100.0,206,100.0
05A,97.425,388.9,96.5,95.0,97.4,100.0,,207,100.0
05D,84.31837,329.97917,91.995,90.49417,91.49,,56.0,208,56.0
05D,92.90942,371.5815,91.995,91.0945,92.492,96.0,,209,96.0
05B,95.997,385.394,98.0,96.0,95.394,96.0,,210,96.0
05D,89.2802,348.032,90.49417,89.89383,95.644,72.0,,211,72.0
05B,81.09734,324.29469,93.0,94.0,85.29469,52.0,,212,52.0
05D,95.34475,379.88134,93.99417,93.99417,95.893,96.0,,213,96.0
05D,84.7137,337.529,92.49333,92.79467,88.241,,64.0,214,64.0
05B,97.02212,389.14425,95.0,98.0,96.14425,100.0,,215,100.0
05C,86.25,339.5,85.0,85.0,89.5,80.0,,216,80.0
05C,92.9,367.0,90.0,90.0,95.0,92.0,,217,92.0
05D,94.32405,384.58367,96.09567,98.098,90.39,100.0,,218,100.0
05A,89.4472,357.8444,97.5,93.0,91.3444,76.0,,219,76.0
05C,96.5,379.0,90.0,90.0,99.0,100.0,,220,100.0
05A,91.225,367.5,92.5,93.0,90.0,,92.0,221,92.0
05C,93.5,375.0,100.0,100.0,95.0,80.0,,222,80.0
05B,84.47255,330.84511,89.0,84.0,89.84511,,68.0,223,68.0
05B,90.59596,360.39192,93.0,91.0,92.39192,84.0,,224,84.0
05A,90.04897,363.74795,92.5,91.0,88.24795,,92.0,225,92.0
05B,91.52271,363.34542,95.0,94.0,94.34542,80.0,,226,80.0
05C,92.85,378.5,100.0,100.0,90.5,88.0,,227,88.0
05A,86.44775,348.2955,91.0,91.0,86.2955,80.0,,228,80.0
05D,91.14007,371.78817,99.0,96.29717,88.491,88.0,,229,88.0
05A,92.9,374.0,94.0,96.0,92.0,92.0,,230,92.0
05C,88.45,353.5,85.0,85.0,87.5,96.0,,231,96.0
05A,88.97316,358.54632,95.0,91.0,88.54632,84.0,,232,84.0
05A,92.8,370.0,95.0,93.0,94.0,88.0,,233,88.0
05D,89.3132,361.178,94.79383,93.99417,88.39,84.0,,234,84.0
05D,93.1834,373.87934,92.79467,92.79467,92.29,96.0,,235,96.0
05D,88.04817,351.72784,95.19367,93.99417,90.54,72.0,,236,72.0
06A,97.20325,389.3465,98.3,97.9,97.1465,96.0,,237,96.0
06D,86.56672,353.28418,95.495,93.29175,84.49743,80.0,,238,80.0
06C,92.44777,377.54118,92.49375,97.0,88.04743,100.0,,239,100.0
06D,86.8224,357.28868,93.49125,90.0,81.79743,,92.0,240,92.0
06B,95.42187,384.94375,99.0,96.0,93.94375,,96.0,241,96.0
06D,92.02806,380.69612,98.2,97.0,85.49612,100.0,,242,100.0
06A,90.87908,371.87714,93.591,92.29325,85.99289,,100.0,243,100.0
06A,96.8118,383.63217,96.992,95.59167,99.0485,92.0,,244,92.0
06D,85.62621,347.48683,93.192,90.0,84.29483,,80.0,245,80.0
06D,96.24322,384.28817,95.29567,92.9925,96.0,100.0,,246,100.0
06C,84.3616,345.5911,90.0,94.097,81.4941,80.0,,247,80.0
06C,92.53589,379.1824,95.99333,95.59325,87.59582,,100.0,248,100.0
06A,98.048,391.89017,97.5,96.49167,97.8985,100.0,,249,100.0
06B,89.97162,361.19325,94.0,89.5,89.69325,88.0,,250,88.0
06A,98.804,395.998,99.3,98.4,98.298,100.0,,251,100.0
06C,93.82629,376.58873,90.0,94.1945,92.39423,100.0,,252,100.0
06B,92.89701,375.29402,94.0,91.0,90.29402,,100.0,253,100.0
06A,96.64176,384.43617,97.197,93.5925,97.64667,96.0,,254,96.0
06B,94.49808,384.79617,99.0,95.0,90.79617,100.0,,255,100.0
06C,93.84672,381.78879,99.0,95.99333,90.79546,96.0,,256,96.0
06C,87.12362,357.89514,90.0,93.497,82.39814,92.0,,257,92.0
06D,95.43211,375.53583,95.196,93.192,99.14783,88.0,,258,88.0
06D,97.22283,386.79567,98.5,94.0,98.29567,96.0,,259,96.0
